Title,Author1,Publisher,Copyright,List Price/Total:4744.1,ISBN,Edition,REF?,RESERVE?,RECD?,MajorClassification,Category,Specialty
A Nation in Pain: Healing our Biggest Health Problem,"Foreman, Judy","Oxford University Press, Inc.",2014,$29.95 ,9780199837205,,,,,,LEI,
"Demons: Our changing attitudes to alcohol, tobacco, and drugs","Berridge, Virgina","Oxford University Press, Inc.",2014,$29.95 ,9780199604982,,,,,,LEI,
"Medical Illuminations: Using Evidence, Visualization and Statistical Thinking to Improve Healthcare","Wainer, Howard","Oxford University Press, Inc.",2014,$35.00 ,9780199668793,,,,,,LEI,
"Mother of Invention: How the Government Created ""Free-Market"" Health Care","Field, Robert","Oxford University Press, Inc.",2013,$55.00 ,9780199746750,,,,,,PH/LEI,
Polio Wars: Sister Kenny and the Golden Age of American Medicine,"Rogers, Naomi","Oxford University Press, Inc.",2013,$35.00 ,9780195380590,,,,,,LEI,
The AIDS Generation: Stories of Survival and Resilience,"Halkitis, Perry","Oxford University Press, Inc.",2013,$49.95 ,9780199944972,,,,,,PH/LEI,
Pandemics: What Everyone Needs to Know,"Doherty, Peter","Oxford University Press, Inc.",2013,$74.00 ,9780199898107,,,,,,PH/LEI,
"Alcohol: Science, Policy and Public Health","Boyle, Peter","Oxford University Press, Inc.",2013,$110.00 ,9780199655786,,,,,,PH,
Statistical Models in Epidemiology,"Clayton, David","Oxford University Press, Inc.",2013,$55.00 ,9780199671182,,,,,,EPIBIOS,
"Medicine and the Law
","Kannan, K.","Oxford University Press, Inc.",2014,$69.95 ,9780198082880,,,,,,PH,
"Regulating Obesity? Government, Society, and Questions of Health","Bogart, W.A.","Oxford University Press, Inc.",2013,$85.00 ,9780199856206,,,,,,PH,
The Globalization of Health Care: Legal and Ethical Issues,"Cohen, Glen","Oxford University Press, Inc.",2013,$95.00 ,9780199917907,,,,,,PH,
The Urban Ethnography Reader,"Duneier, Mitchell","Oxford University Press, Inc.",2014,$125.00 ,9780199743582,,,,,,COMHE,
Is a Little Pollution Good for You? Incorporating Societal Values in Environmental Research,"Elliot, Kevin","Oxford University Press, Inc.",2014,$35.00 ,9780199374069,,,,,,EOHS,
Food Security and Sociopolitical Stability,"Barrett, Christopher","Oxford University Press, Inc.",2013,$84.00 ,9780199679362,,,,,,PH,
The Oxford Handbook of Organizational Climate and Culture,"Schneider, Benjamin","Oxford University Press, Inc.",2014,$225.00 ,9780199860715,,REF,,,,HPMA,
The Oxford Handbook of Qualitative Research,"Leavy, Patricia","Oxford University Press, Inc.",2014,$225.00 ,9780199811755,,REF,,,,PH,
Modern Environments and Human Health: Revisiting the Second Epidemiological Transition,"Zuckerman, Molly",Wiley-Blackwell,2014,$149.95 ,9781118504208,,,,,,EPIBIOS,
The Biostatistics of Aging: From Gompertzian Mortality to an Index of Aging-Relatedness,"Levy, Gilberto",Wiley-Blackwell,2014,$110.00 ,9781118645857,,,,,,EPIBIOS,
"Public Health Policy: Issues, Theories, and Advocacy","Bhattacharya, Dhrubajyoti",Jossey-Bass,2014,$90.00 ,9781118164358,,,,,,HPMA,
Practical Manual of Clinical Obesity,"Kushner, Robert",Wiley-Blackwell,2014,$70.95 ,9780470654767,,,,,,NUTR,
Social Entrepreneurship: An Evidence-Based Approach to Creating Social Value,"Guo, Chao",Jossey-Bass,2014,$65.00 ,9781118356487,,,,,,HPMA,
The Effective Public Manager: Achieving Success in Government Organizations,"Morse, Suzanne",Jossey-Bass,2013,$70.00 ,9781118427002,5,,,,,HPMA,
Meta-Analysis for Public Management and Policy,"Ringquist, Evan",Jossey-Bass,2013,$80.00 ,9781118190135,,,,,,HPMA/EPIBIOS,
Oceans and Human Health: Implications for Society and Wellbeing,"Bowen, Robert",Wiley-Blackwell,2014,$99.95 ,9781119941316,,,,,,EOHS,
Wellbeing and the Environment,"Cooper, Rachel",Wiley-Blackwell,2014,$210.00 ,9781118608371,,REF,,,,EOHS,
Sustainable Food Systems: Building a New Paradigm,"Marsden, Terry",Wiley-Blackwell,2014,$145.00 ,9780415639545,,,,,,NUTR,
The Healthy Indoor Environment: How to assess occupants' wellbeing in buildings,"Bluyssen, Philomena",Routledge,2013,$79.95 ,9780415822756,,,,,,EOHS,
Health Education: Critical perspectives,"Fitzpatrick, Katie",Routledge,2014,$155.00 ,9780415815956,,,,,,COMHE,
"Substance Use Disorders in African American Communities: Prevention, Treatment and Recovery","Sanders, Mark",Routledge,2013,$145.00 ,9780415723992,,,,,,COMHE,
